Metric,Baseline,LLM-Enhanced,Improvement
Accuracy (%),30.618311533888225,87.21759809750297,56.59928656361475
Precision,0.8053719589884041,0.8697143863040899,0.06434242731568585
Recall,0.30618311533888226,0.8721759809750297,0.5659928656361475
F1-Score,0.17409723663481522,0.8533799191896657,0.6792826825548505
